,Control,Lexicon
0,Controlled lexicons (ARC),byːhoːzɛː|kaːfiːluː|riːfyːkoː|huːzyːpeː
1,Controlled lexicons (ARC),byːhoːzɛː|ɡaːreːfyː|poːʃuːhiː|nyːfoːkuː
2,Controlled lexicons (ARC),fiːtoːhuː|foːheːtɛː|reːfyːɡiː|hoːzyːbuː
3,Controlled lexicons (ARC),heːfaːtɛː|hiːtoːfuː|ʃiːbeːhoː|biːhuːʃoː
4,Controlled lexicons (ARC),hiːtoːfuː|fyːkoːnɛː|nyːfoːkuː|ʃøːheːpiː
5,Controlled lexicons (ARC),hiːtoːfuː|kuːfaːnɛː|biːhuːzyː|roːfiːkɛː
6,Controlled lexicons (ARC),hiːtoːfuː|kuːfaːnɛː|raːfiːkɛː|biːhuːzyː
7,Controlled lexicons (ARC),hiːtoːfuː|kɛːfiːraː|vaːroːɡɛː|ʃuːɡiːmyː
8,Controlled lexicons (ARC),hiːtoːfuː|roːfaːkøː|biːhuːzyː|fiːtyːhoː
9,Controlled lexicons (ARC),hoːdeːvaː|kaːfiːluː|biːhuːzyː|loːfaːkøː
10,Controlled lexicons (ARC),hoːdeːvaː|kaːfiːluː|ruːfaːkoː|biːhuːzyː
11,Controlled lexicons (ARC),kaːzuːmyː|foːheːtɛː|nuːkɛːfaː|ʃoːbiːhuː
12,Controlled lexicons (ARC),kaːzuːmyː|heːbiːʃøː|ruːkoːfyː|fuːroːɡɛː
13,Controlled lexicons (ARC),kaːzuːmyː|riːɡaːfuː|heːbiːʃøː|beːhoːʃiː
14,Controlled lexicons (ARC),kaːzuːmyː|ruːkoːfyː|biːhuːzyː|heːvaːtuː
15,Controlled lexicons (ARC),nyːfuːɡaː|biːhuːzyː|køːnuːfoː|vaːtoːheː
16,Controlled lexicons (ARC),riːkaːfoː|biːhuːzyː|fuːtoːhiː|ʃaːmyːkoː
17,Controlled lexicons (ARC),riːɡaːfuː|biːhuːzyː|ʃiːbøːheː|ɡiːlyːfaː
18,Controlled lexicons (ARC),zuːheːpiː|fiːnuːkaː|ɡiːfaːryː|huːʃoːbyː
19,Controlled lexicons (ARC),zuːheːpiː|kaːfoːreː|nyːfuːɡaː|fiːtoːhuː
20,Controlled lexicons (ARC),ʃeːhoːbiː|kaːzuːmyː|reːvaːkoː|fyːhiːtɛː
21,Random lexicons (Baseline),faːhoːtɛː|huːʃoːpaː|riːfaːkuː|koːmeːzuː
22,Random lexicons (Baseline),faːryːɡiː|zuːhoːpaː|høːtoːfaː|faːhoːtɛː
23,Random lexicons (Baseline),faːtoːhuː|laːɡiːfyː|kuːfaːryː|kuːmeːzyː
24,Random lexicons (Baseline),faːɡiːryː|huːʃoːpaː|huːʃoːbaː|tiːfoːhuː
25,Random lexicons (Baseline),fiːdoːhøː|faːɡiːluː|ɡiːʃaːmyː|huːtoːfaː
26,Random lexicons (Baseline),foːkaːruː|reːkaːfuː|ʃiːpeːhuː|faːtiːhuː
27,Random lexicons (Baseline),fyːroːkuː|laːfiːkuː|hoːtuːfyː|hoːzyːpaː
28,Random lexicons (Baseline),fyːɡiːluː|faːroːɡyː|ɡiːʃaːmyː|hoːtuːfyː
29,Random lexicons (Baseline),fyːɡiːluː|hoːʃiːbeː|fuːroːɡyː|reːkaːfuː
30,Random lexicons (Baseline),heːbiːʃuː|fyːhoːdeː|høːtiːfaː|tiːhoːfyː
31,Random lexicons (Baseline),heːfiːtoː|lyːfaːkoː|tyːfoːheː|boːzuːheː
32,Random lexicons (Baseline),hoːtiːfyː|køːnuːfiː|koːzuːmyː|fiːdoːhøː
33,Random lexicons (Baseline),huːʃoːbaː|vaːloːɡɛː|ɡiːfyːroː|faːnuːɡiː
34,Random lexicons (Baseline),høːtoːvaː|nuːfoːɡyː|luːɡaːfoː|ʃoːkuːmyː
35,Random lexicons (Baseline),kuːfaːryː|lyːfaːkoː|foːreːɡiː|niːvaːkøː
36,Random lexicons (Baseline),nuːfoːɡyː|ryːfoːɡaː|ɡiːfaːnøː|reːkaːfuː
37,Random lexicons (Baseline),riːvaːkɛː|vaːreːɡiː|zuːheːboː|meːzyːkoː
38,Random lexicons (Baseline),zuːhiːbøː|riːfaːkuː|luːkɛːfaː|køːnuːfiː
39,Random lexicons (Baseline),ɡiːfoːryː|ʃiːpeːhuː|ɡaːnyːfoː|niːkaːfoː
40,Random lexicons (Baseline),ɡiːryːfaː|ɡaːfuːroː|zuːpeːhiː|loːɡiːfaː
41,Random lexicons (Baseline),ʃiːpeːhuː|zuːheːboː|beːhuːzyː|hoːpiːzuː
42,Reference lexicons (Literature),bidupɛ|məʊbɑli|rɛɡætʊ|sætɛkəʊ
43,Reference lexicons (Literature),bəʊdɑmɛ|finəʊpɑ|ɡʊrɑtəʊ|ləʊkæneɪ
44,Reference lexicons (Literature),dɛmʊri|sɛniɡɛ|rækusəʊ|pilɛru
45,Reference lexicons (Literature),fubire|xetusi|tafiko|kemapo
46,Reference lexicons (Literature),fɛsinɑ|kɛsudəʊ|mæpʊdi|timinu
47,Reference lexicons (Literature),kifəʊbu|lufɑɡi|pæbeɪlɑ|tɑɡəʊfʊ
48,Reference lexicons (Literature),manutoʊ|nimoʊlu|voʊɹifa|liduɹa
49,Reference lexicons (Literature),maxupe|xeroɡa|demusi|foleti
50,Reference lexicons (Literature),meɪluɡi|ɹafinu|pukeɪmi|toʊnapoʊ
51,Reference lexicons (Literature),milode|dalebu|norupa|katexi
52,Reference lexicons (Literature),mipola|zabɛtu|ʁokisɛ|nuɡadi
53,Reference lexicons (Literature),nedoli|rifonu|batoɡu|kirapu
54,Reference lexicons (Literature),nonixe|bulote|remofu|kotusa
55,Reference lexicons (Literature),pabela|dineka|lufari|xisodu
56,Reference lexicons (Literature),piɾuta|baɡoli|tokuda|ɡukibo
57,Reference lexicons (Literature),poʊfimu|noʊvuka|vikoʊɡa|bafuɡi
58,Reference lexicons (Literature),pukemi|rafinu|binapo|medoxi
59,Reference lexicons (Literature),tifaxu|soduxi|melubo|ɡanipe
60,Reference lexicons (Literature),tupiɹoʊ|ɡoʊlabu|padoʊti|bidaku
61,Reference lexicons (Literature),ɡonabe|mudila|ronixe|pikusa
