ipa_trigram,frequency
ʊ_n_t,9109
n_ɪ_ç,8478
d_aː_s,7432
d_a_n,6523
ɛ_n_t,5868
l_ɪ_ç,4882
l_z_oː,4767
ɪ_ç_t,4704
aː_b_ɐ,4695
a_l_z,4564
a_l_t,4362
g_ɛ_n,3978
n_t_s,3824
v_aː_s,3781
h_a_l,3773
ai_n_ə,3646
a_n_t,3626
n_t_v,3569
t_ə_n,3508
ɛ_t_s,3378
m_aː_l,3359
t_s_uː,3348
ɪ_s_t,3302
ɐ_g_ɛ,3252
ɪ_ɐ_g,3187
d_eː_ɐ,2991
v_aː_ɐ,2963
t_s_t,2925
ʃ_oː_n,2913
n_t_d,2881
oː_d_ɐ,2871
m_ɪ_t,2754
m_a_x,2735
d_eː_s,2725
n_ɔ_x,2684
t_ɪ_ç,2661
b_ɪ_s,2645
m_ai_n,2566
ɪ_n_t,2532
h_aː_t,2517
d_a_s,2498
g_ə_n,2477
b_ə_n,2462
a_x_t,2440
t_d_a,2404
v_ai_s,2392
s_ɪ_s,2251
v_ɪ_ɐ,2233
ɪ_ç_v,2188
v_ɛ_n,2144
ə_n_d,2144
h_aː_p,2142
ɪ_ç_m,2127
ɪ_ç_d,2109
f_ɛ_ɐ,2098
ɪ_ç_g,2084
t_v_iː,2064
s_t_ə,2059
s_ɪ_ç,2053
ɛ_s_t,2031
r_ə_n,2020
n_d_eː,2012
k_a_n,1994
ɪ_ç_h,1991
n_f_a,1988
ə_n_v,1982
f_iː_l,1960
t_d_aː,1954
d_ə_n,1948
v_ai_l,1933
s_ə_n,1928
ɛ_ç_t,1917
ɛ_ɐ_n,1885
x_ə_n,1855
ɐ_z_oː,1843
a_n_d,1842
n_ə_n,1830
g_eː_n,1826
m_aː_n,1813
ɐ_t_s,1808
g_l_au,1783
ɪ_m_m,1777
n_d_aː,1771
ɛ_ɐ_t,1745
s_t_d,1734
k_ɔ_m,1719
k_ai_n,1706
z_oː_n,1700
g_uː_t,1696
d_eː_n,1695
f_oː_n,1686
t_z_oː,1675
d_iː_z,1674
n_d_a,1666
m_ʊ_s,1643
n_ʊ_n,1639
ɪ_n_d,1633
a_x_ə,1611
j_aː_d,1590
n_s_t,1584
ɐ_s_t,1571
a_l_ə,1570
p_ɪ_ç,1549
b_ɪ_s,1548
ɛ_n_d,1535
ai_n_f,1521
a_k_t,1516
n_d_ə,1512
g_a_n,1498
l_au_p,1496
t_s_v,1476
t_l_ɪ,1476
ɛ_ɐ_s,1475
z_ɪ_n,1466
t_d_eː,1466
t_ʊ_n,1461
z_oː_v,1443
a_s_t,1437
ç_ə_n,1434
f_a_x,1431
eː_n_au,1427
aː_s_ɪ,1421
m_ə_n,1374
t_ɪ_m,1361
t_s_ɪ,1340
ɪ_ç_n,1338
n_a_x,1326
t_ɛ_ɐ,1323
ɛ_l_t,1312
l_ə_n,1309
z_oː_d,1307
_p:__z_oː,1304
s_t_ɛ,1292
r_ɪ_ç,1283
m_ɪ_ɐ,1278
z_ɪ_ç,1274
aː_g_ə,1257
n_z_oː,1244
n_ai_n,1242
eː_h_ə,1238
s_v_aː,1218
g_eː_z,1209
ç_n_ɪ,1205
ç_z_oː,1184
s_t_ɪ,1182
n_d_ɛ,1172
l_ai_ç,1167
ɪ_ç_z,1159
au_ç_n,1158
n_d_iː,1144
t_j_aː,1142
g_eː_m,1134
ə_n_ʊ,1131
s_g_eː,1129
f_yː_ɐ,1111
aː_s_v,1110
ɐ_d_aː,1109
iː_z_ə,1108
v_iː_d,1105
ə_n_ɪ,1104
a_l_s,1099
ə_n_z,1098
ɐ_n_ɪ,1098
eː_m_a,1094
n_m_aː,1091
n_t_ɪ,1090
n_uː_ɐ,1086
ʊ_s_t,1076
s_v_ai,1076
ai_s_t,1076
aː_r_ə,1075
s_n_ɪ,1074
t_h_aː,1073
j_aː_ɪ,1057
aː_j_a,1048
n_h_aː,1046
t_s_ə,1041
ç_t_ɪ,1039
d_ɔ_x,1025
ə_n_h,1023
aː_b_ə,1022
t_s_ɛ,1018
t_d_iː,1015
n_t_l,1010
h_ə_n,1009
ə_n_t,1008
g_aː_ɐ,995
z_a_k,990
h_a_t,988
z_oː_ɪ,986
t_v_aː,983
ç_v_ai,978
m_ɪ_ç,971
n_t_z,969
t_au_ç,964
s_d_aː,960
k_ə_n,954
n_g_eː,953
ə_n_m,945
ç_h_aː,943
n_t_ə,941
d_ɛ_ɐ,941
d_ɐ_z,941
ɪ_m_t,939
ə_n_k,936
ç_t_s,928
n_ʊ_ŋ,923
t_h_a,922
ç_g_l,917
ɪ_ç_au,912
uː_n_d,910
h_aː_b,909
d_eː_m,909
ai_ç_t,903
eː_r_ə,899
aː_ɐ_n,889
t_g_eː,887
f_ə_n,882
s_h_a,880
ɪ_ç_ɪ,880
a_ɐ_t,879
iː_ɐ_t,875
t_n_ɪ,872
ai_g_ɛ,871
m_a_n,870
f_ɪ_n,867
g_ɛ_ʃ,865
s_ç_ə,863
t_a_l,861
n_h_a,861
m_eː_ɐ,861
b_ɐ_d,861
aː_ɪ_ç,861
ɐ_ɪ_ç,856
z_oː_g,852
g_eː_t,852
s_au_ç,849
ɪ_s_ç,848
s_t_t,846
oː_k__p:_,844
ɪ_ç_f,843
g_eː_h,843
b_ɪ_n,843
z_ə_n,841
k_oː_l,838
ə_n_f,837
s_j_aː,833
n_a_l,829
aː_d_aː,828
z_ai_n,827
j_aː_g,826
a_t_ə,821
g_ɛ_s,820
eː_s_ɪ,819
h_aː_m,818
t_s_ai,817
h_a_s,817
f_a_l,810
ɔ_m_ə,806
n_t_ɛ,805
j_aː__p:_,804
eː_z_a,804
ai_n_t,804
ɪ_ç_k,803
s_uː_m,798
ŋ_ə_n,796
a_n_ɪ,795
ç_d_aː,793
n_j_aː,785
k_l_ɪ,785
ç_g_eː,781
ɐ_g_eː,776
aː_s_d,775
j_aː_j,774
t_t_s,772
s_t_s,770
d_ɪ_s,768
l_t_ə,765
ə_n_g,764
n_ɪ_s,762
a_n_s,762
oː_ɪ_ç,761
f_ɔ_ɐ,761
t_d_uː,751
ɔ_l_t,750
ɐ_d_iː,750
iː_l_ai,749
x_z_oː,747
ʊ_n_d,747
t_m_aː,745
eː_b_ə,743
n_b_ɪ,741
iː_d_ɐ,740
t_s_iː,738
ɐ_d_ə,736
a_n_h,729
n_d_r,727
r_aː_t,725
ɪ_ɐ_k,720
eː_g_ə,719
v_a_n,718
ɛ_k_t,718
ɐ_k_l,717
ç_au_ç,716
ɪ_ç__p:_,714
f_oː_ɐ,714
ɛ_n_s,712
aː_n_ʊ,712
yː_b_ɛ,710
t_eː_t,708
ç_d_a,705
s_t_eː,704
z_oː_f,700
ɐ_d_eː,700
ɔi_t_ə,695
d_iː_h,688
t_ɪ_s,687
l_ə_s,686
ɪ_ç_j,686
t_aː_k,685
p_r_oː,685
s_m_aː,678
v_ɛ_ɐ,676
oː_v_aː,676
z_aː_g,675
aː_p_ɪ,675
ʃ_t_ɪ,673
aː_n_d,670
r_ɪ_n,669
a_v_r,666
s_z_oː,663
n_oː_d,660
k_œ_n,660
b_ɛ_s,658
d_iː_d,657
ɪ_t_s,656
d_eː_r,656
n_v_ɪ,654
z_ɔ_n,653
n_v_aː,653
ə_n_a,652
t_ɪ_ɐ,651
ə_aː_n,649
v_aː_r,642
s_t_n,641
oː_n_d,641
ə_n_oː,641
d_a_x,641
ə_ɪ_ç,638
s_d_a,636
k_r_a,636
ə_n_n,636
z_ɔ_l,632
n_au_ç,632
ɛ_ŋ_k,632
t_m_ɪ,631
ɪ_ç_b,627
ɐ_b_ai,626
t_ɛ_l,625
n_ə_aː,623
a_x_z,623
ɐ_l_ɪ,621
t_ai_n,620
ɐ_a_l,619
h_ɪ_n,618
a_s_d,617
m_ɛ_n,614
t_s_eː,613
n_aː_b,612
ɪ_s_d,611
j_aː_n,610
aː_ɐ_d,610
g_ʊ_k,606
v_a_ɐ,605
b_ɐ_ɪ,603
t_v_ɛ,602
ɔ_x_m,600
b_ɛ_ɐ,599
aː_s_h,598
ai_s_n,596
aː_s_m,595
ç_m_ai,594
a_n_m,593
n_k_a,592
j_aː_v,592
n_z_ɪ,591
k_s_t,591
g_ɪ_p,591
t_ə_d,590
k_l_aː,589
s_eː_s,586
n_l_ɪ,586
n_aː_t,586
ɪ_p_t,586
ɐ_ɪ_s,585
l_ɛ_t,584
a_ŋ_ə,582
d_aː_m,580
v_ɔ_l,579
t_aː_b,579
t_ɛ_n,577
n_aː_j,576
eː_d_ə,572
p_iː_l,571
r_a_s,570
oː_n_eː,568
eː_t_s,568
ɐ_v_aː,564
n_t_h,562
aː_g_eː,560
j_eː_d,557
iː_z_oː,557
aː_n_ɪ,557
s_ai_t,553
ɛ_ɐ_l,550
x_m_aː,549
g_eː_f,549
ɔ_x_n,548
l_a_ŋ,548
g_r_aː,548
b_ai_d,547
g_eː_g,545
aː_s_g,544
a_t_s,544
s_d_iː,539
ɛ_ɐ_k,539
v_ɪ_l,532
n_ɪ_m,531
v_ɔ_x,528
ɪ_ɐ_t,528
aː_au_ç,528
aː_z_oː,526
n_eː_m,525
ɐ_m_aː,525
ai_t_ə,525
_p:__f_iː,525
ʃ_ai_n,524
l_aː_ɐ,522
f_aː_r,521
aː_d_ə,521
ɔ_m_t,519
ɔ_ɐ_t,519
n_v_ai,519
eː_s_v,518
ç_m_aː,518
a_ɐ_b,518
n_v_ɛ,515
n_t_aː,515
d_aː_h,514
ɐ_d_a,514
g_eː_r,512
ç_m_ɪ,511
b_ai_m,510
oː_t_s,509
n_m_ɪ,509
z_oː_t,507
s_t_a,507
n_ə_m,506
j_aː_au,504
s_ɛ_l,503
ɔ_n_t,503
n_ɪ_ɐ,503
a_n_v,503
ə_n_aː,501
b_ai_t,500
ʊ_n_s,499
t_a_n,498
d_r_ai,498
aː_t_d,498
s_t_m,496
s_eː_n,496
iː_h_aː,496
d_ɛ_n,496
g_eː_v,494
ɐ_h_a,494
v_iː_z,493
au_p_ɪ,493
n_t_t,492
ai_n_l,492
a_n_z,492
s_uː_z,491
ɪ_g_ə,491
l_ai_n,490
j_aː_aː,490
iː_r_ə,490
ɛ_l_ə,490
v_eː_g,489
ɪ_t_d,485
ai_n_ɐ,485
au_ç_ɪ,484
yː_b_ɐ,483
s_v_ɪ,483
t_z_ɪ,482
ɐ_t_ɪ,482
_p:__f_oː,482
aː_t_ɪ,481
s_t_r,478
j_oː_n,477
aː_j_aː,477
l_ɛ_ɐ,474
l_ə_m,474
aː_ɐ_ʃ,473
ŋ_t_l,470
v_oː_n,469
r_au_s,469
d_aː_v,468
t_uː_n,467
t_ɪ_n,467
ʃ_øː_n,467
n_d_ɪ,467
k_r_iː,467
ə_d_aː,467
ɐ_ʊ_n,466
ɐ_m_ɪ,466
ə_n__p:_,465
ɐ_au_ç,465
m_t_d,464
iː_b_ə,464
h_ɛ_t,464
r_ai_n,463
ɔ_x_ə,461
ə_n_b,461
d_ɪ_ç,460
aː_m_ɪ,460
s_t_aː,459
ɪ_ç_ʃ,459
ə_n_j,459
oː_n_ɪ,458
l_ɔi_t,458
eː_ɐ_d,458
l_t_d,457
aː_t_s,457
t_oː_d,456
z_oː_z,455
d_aː_f,455
ai_l_d,455
r_uː_m,453
g_eː_b,453
v_ɛ_l,452
s_d_eː,452
n_ɪ_n,452
au_ç_g,452
t_ʃ_oː,451
t_s_g,451
z_eː_h,449
t_s_d,449
r_au_ç,448
n_ɛ_ɐ,448
d_ʊ_ɐ,447
d_ɛ_ŋ,447
ɛ_t_ə,446
s_p_r,445
ɛ_ɐ_g,445
a_ŋ_eː,445
v_ʏ_ɐ,444
l_t_s,444
h_iː_ɐ,444
au_f_d,443
d_r_au,442
ç_h_a,442
r_ɛ_ç,441
j_aː_k,441
k_v_aː,440
ai_ŋ_t,440
r_au_f,439
s_m_a,438
ɛ_ɐ_z,437
t_z_iː,436
ɐ_t_ə,436
_p:__f_ɛ,436
z_ɛ_l,435
s_h_aː,435
ç_ɪ_m,433
ʊ_ɐ_ç,432
l_t_ɪ,432
k_ɛ_n,432
ɐ_ʊ_n,430
aː_aː_b,429
z_a_m,428
n_ʃ_t,427
s_t_v,426
n_uː_n,426
ɪ_ç_a,426
oː_d_iː,425
ɐ_ʃ_ai,425
ɐ_h_aː,425
n_eː_t,424
ʏ_n_f,422
t_v_ɪ,421
aː_z_iː,421
p_t_s,420
au_ç_z,419
ɪ_n_ɪ,418
g_ɛ_l,418
g_eː_l,418
eː_k_ɔ,417
d_ai_n,417
d_aː_n,417
z_a_x,416
ç_v_aː,416
oː_d_aː,415
f_iː_ɐ,415
d_iː_v,415
ɐ_v_ɛ,414
ə_t_s,413
a_x_d,413
f_ʏ_n,412
s_t_ɐ,410
ɪ_ʃ_ə,410
d_r_ɪ,410
aː_v_aː,410
ɛ_ɐ_f,409
au_ç_d,409
r_a_k,408
ai_s_ɪ,408
s_ɪ_m,407
s_ai_n,407
ɔ_n_s,407
eː_n_ə,407
ç_ʃ_oː,407
ç_n_ɔ,405
ɐ_j_aː,405
z_oː_k,404
ç_t_m,404
s_t_h,403
a_s_ə,403
eː_z_ə,402
t_v_ai,401
t_j_ɛ,401
m_ʏ_s,401
ɛ_n_ɪ,401
n_ɛ_n,400
ə_n_ʃ,399
d_aː_d,399
s_ʃ_oː,398
n_m_ʊ,397
l_au_b,397
d_ɪ_ŋ,395
x_n_ɪ,394
ɛ_s_ə,394
d_ɪ_ɐ,394
a_n_f,394
ə_n_au,393
ç_s_t,392
s_a_l,391
m_ɪ_n,391
ɪ_s_j,391
s_t_j,390
ŋ_k_ə,390
ɛ_ɐ_v,390
ʃ_ə_n,389
m_l_ɪ,389
ai_l_ɪ,388
n_v_iː,387
ə_g_eː,387
ç_d_iː,387
s_m_ɪ,386
eː_ɐ_v,386
n_t_eː,385
k_ɔ_n,385
aː_s_z,385
t_eː_r,384
ʊ_k_ə,383
t_j_oː,383
r_ʊ_n,383
ɛ_ç_s,383
n_n_ɪ,382
m_ɛ_ɐ,382
ɛ_ɐ_d,382
ə_n_uː,381
eː_g_a,381
ç_b_ɪ,380
au_f_g,379
x_t_s,378
t_ɛ_s,378
oː_m_ɪ,378
j_t_s,378
d_iː_g,378
aː_l_g,378
aː_ɐ_ɪ,378
oː_n_t,377
aː_h_a,377
s_j_ɛ,376
j_aː_ʃ,376
ə_d_iː,376
aː_t_z,376
z_oː_m,375
f_r_ɔi,375
d_aː_ɪ,375
ʃ_r_ai,372
aː_m_a,372
œ_n_t,371
ç_t_d,371
ʊ_ɐ_t,370
n_a_n,370
d_aː_t,370
a_n_k,370
r_ɛ_s,369
eː_ɐ_h,369
au_b_ə,369
ɪ_ɐ_d,368
eː_s_g,368
eː_ɐ_ɪ,367
n_t_r,366
d_ɛ_z,366
ai_n_s,366
n_t_j,365
aː_s_f,365
s_p_iː,364
ʃ_t_ʊ,363
n_m_a,363
ə_m_ɪ,363
d_ə_m,363
n_t_m,362
s_ɛ_n,361
l_t_n,361
t_ə_m,360
a_s_ɪ,359
g_l_ai,358
f_a_ŋ,358
eː_r_ɛ,358
ai_n_m,358
v_ɛː_ɐ,357
k_l_ai,357
g_ɛ_ɐ,357
t_v_oː,356
r_oː_b,356
ɔ_x_d,356
t_ɪ_ʃ,355
ɔ_ɐ_g,355
n_f_ɛ,355
ʊ_ŋ_k,354
au_f_ə,354
ai_z_ə,354
z_oː_ʃ,353
k_t_ɪ,353
k_au_f,353
eː_r_aː,353
ç_a_l,353
_p:__f_r,353
t_v_a,352
n_k_ɔ,352
t_ɪ_k,351
t_d_r,351
p_a_s,351
b_ɛ_n,351
t_ə_s,350
r_iː_k,350
ŋ_k_t,350
h_ɔi_t,350
ɛ_s_p,350
au_f_j,350
a_n_n,350
l_t_au,349
l_a_s,349
ɐ_ai_n,349
n_t_n,347
d_ɐ_v,347
z_oː_ai,346
n_t_a,346
ɐ_v_ai,346
j_aː_a,345
eː_n_ɪ,345
iː_d_iː,344
t_n_eː,343
f_j_eː,343
d_iː_m,342
d_iː_ɪ,342
x_t_ə,341
t_ʏ_ɐ,341
t_n_ɔ,341
t__p:__z,341
oː_n_z,341
aː_d_a,341
ç_j_aː,340
aː_s_n,340
z_eː_ɐ,339
h_ai_s,339
eː_m_ai,339
ç_t_g,339
t_r_ɛ,338
t_eː_s,338
eː_m_ɛ,338
aː_d_iː,338
t_s_aː,337
n_ɛ_ç,336
iː_g_eː,336
a_n_ʃ,336
ɔ_ɐ_m,335
j_aː_z,335
d_aː_g,335
ɐ_ɪ_ɐ,335
ɐ_g_ə,335
t_ɪ_f,334
r_aː_g,334
r_aː_d,334
l_ç_ə,334
iː_d_aː,334
f_r_aː,334
aː_ɪ_s,334
ai_n_d,333
z_ʊ_x,331
s_ʊ_n,331
oː_n_m,331
d_iː_k,331
aː_s_k,331
l_au_f,329
t_ə_ɪ,328
ə_f_r,328
ç_t_ə,328
aː_t_ʏ,328
ʏ_ɐ_l,327
n_z_eː,326
ɪ_ç_aː,326
eː_r_ɪ,326
ʃ_t_a,325
ə_ʊ_n,325
t_s_n,324
oː_j_aː,324
n_n_ɔ,324
ɛ_ʃ_r,324
ɐ_n_ɔ,324
aː_d_eː,324
oː_ai_n,323
z_ai_t,322
aː_oː_k,322
s_ʃ_t,321
l_t_ɛ,321
d_uː_d,321
ç_t_z,321
ç_h_p,321
s_ɛ_ç,320
uː_t_ə,319
ə_ʊ_n,319
s_z_iː,319
n_z_iː,319
k_ɪ_n,319
s_t_au,318
oː_v_iː,318
ɛ_z_v,318
r_ɛ_k,317
aː_t_j,317
n_z_ɔ,316
n_n_eː,316
f_a_n,316
ɛ_n_z,316
a_p_t,316
oː_f_iː,315
ɛ_k_s,315
eː_ɐ_g,315
n_t_f,314
g_ɔ_t,314
d_aː_b,314
au_ç_m,314
a_x_n,314
l_d_aː,313
d_eː_t,313
au_s_g,313
r_ɪ_ŋ,312
p_r_ɪ,312
s_a_n,311
r_iː_b,311
n_au_f,311
oː_n_ə,310
j_aː_m,310
aː_g_uː,310
a_n_au,310
v_aː_z,309
ɛ_ɐ_ʃ,309
z_oː_j,308
t_r_ɪ,308
d_iː_n,308
aː_ʊ_n,308
t_r_ɔ,307
ʃ_t_uː,307
eː_ɐ_z,307
ai_n_ɪ,307
r_a_n,306
œ_ɐ_t,306
l_s_t,306
au_p_t,305
