RANK	SYL	COUNT	P(Syl)     	Sum(P(Syl))
1	ja:	19303	0.0190997028	0.0190997028
2	IC	18267	0.0180746138	0.0371743166
3	das	16420	0.0162470662	0.0534213828
4	n	16191	0.0160204780	0.0694418608
5	dan	11181	0.0110632428	0.0805051037
6	g@	11087	0.0109702328	0.0914753365
7	tn	10200	0.0100925746	0.1015679112
8	@	10156	0.0100490380	0.1116169492
9	da:	9647	0.0095453988	0.1211623480
10	di:	8465	0.0083758475	0.1295381954
11	t@	8207	0.0081205647	0.1376587602
12	s	8147	0.0080611966	0.1457199568
13	d6	8028	0.0079434499	0.1536634067
14	vi:6	7965	0.0078811134	0.1615445201
15	vi:	7953	0.0078692398	0.1694137599
16	zi:	7861	0.0077782087	0.1771919687
17	@n	7678	0.0075971361	0.1847891048
18	b6	7175	0.0070994336	0.1918885384
19	ta:k	6813	0.0067412462	0.1986297846
20	n@	6526	0.0064572688	0.2050870534
21	Un	6505	0.0064364900	0.2115235434
22	zo	6418	0.0063504063	0.2178739497
23	mi:6	6213	0.0061475653	0.2240215150
24	6	6151	0.0060862183	0.2301077333
25	de:6	5920	0.0058576512	0.2359653844
26	mIt	5827	0.0057656306	0.2417310151
27	b@	5778	0.0057171467	0.2474481618
28	bIs	5551	0.0054925374	0.2529406992
29	tse:n	5462	0.0054044748	0.2583451740
30	baI	5378	0.0053213595	0.2636665334
31	d@	5374	0.0053174016	0.2689839350
32	t@n	5255	0.0051996549	0.2741835899
33	van	5207	0.0051521604	0.2793357503
34	de:n	5151	0.0050967502	0.2844325005
35	In	5090	0.0050363926	0.2894688931
36	gu:t	5056	0.0050027507	0.2944716438
37	QIC	4972	0.0049196354	0.2993912792
38	t6	4825	0.0047741836	0.3041654628
39	zo:	4645	0.0045960793	0.3087615421
40	Is	4617	0.0045683742	0.3133299164
41	o:	4606	0.0045574901	0.3178874064
42	aIn	4581	0.0045327534	0.3224201598
43	u:6	4568	0.0045198903	0.3269400501
44	nOx	4551	0.0045030693	0.3314431194
45	am	4302	0.0042566918	0.3356998112
46	v6	4245	0.0042002921	0.3399001033
47	fo:6	4199	0.0041547766	0.3440548799
48	vOx	4184	0.0041399345	0.3481948144
49	aUx	4018	0.0039756828	0.3521704972
50	vas	3903	0.0038618940	0.3560323912
51	an	3892	0.0038510099	0.3598834011
52	a:	3838	0.0037975786	0.3636809797
53	n@n	3785	0.0037451368	0.3674261164
54	al	3758	0.0037184211	0.3711445375
55	Uns	3647	0.0036085902	0.3747531277
56	ma:l	3558	0.0035205275	0.3782736552
57	m	3553	0.0035155802	0.3817892354
58	aI	3513	0.0034760014	0.3852652368
59	tE6	3494	0.0034572015	0.3887224384
60	fE6	3408	0.0033721073	0.3920945457
61	r@	3348	0.0033127392	0.3954072849
62	ha:b	3166	0.0031326560	0.3985399409
63	de:m	3155	0.0031217719	0.4016617127
64	draI	3142	0.0031089088	0.4047706215
65	nICt	3120	0.0030871405	0.4078577620
66	vY6	3101	0.0030683406	0.4109261026
67	mi:n	3100	0.0030673511	0.4139934537
68	lIC	3088	0.0030554775	0.4170489312
69	bIn	3037	0.0030050146	0.4200539458
70	fYnf	2983	0.0029515833	0.4230055291
71	QUn	2946	0.0029149730	0.4259205022
72	vE:6	2941	0.0029100257	0.4288305279
73	Um	2924	0.0028932047	0.4317237326
74	na:x	2890	0.0028595628	0.4345832954
75	gN	2869	0.0028387840	0.4374220794
76	k9n	2857	0.0028269104	0.4402489898
77	z@	2805	0.0027754580	0.4430244478
78	aUs	2797	0.0027675423	0.4457919901
79	g@n	2696	0.0026676060	0.4484595961
80	tsaIt	2593	0.0025656908	0.4510252868
81	fraI	2509	0.0024825755	0.4535078623
82	Qal	2476	0.0024499230	0.4559577853
83	Unt	2460	0.0024340915	0.4583918769
84	nOYn	2454	0.0024281547	0.4608200316
85	@s	2441	0.0024152916	0.4632353232
86	maI	2430	0.0024044075	0.4656397307
87	i:	2416	0.0023905549	0.4680302856
88	vEn	2415	0.0023895655	0.4704198511
89	fi	2390	0.0023648288	0.4727846799
90	ta:	2365	0.0023400921	0.4751247719
91	dEn	2330	0.0023054607	0.4774302326
92	Qam	2323	0.0022985344	0.4797287670
93	Qa:	2293	0.0022688504	0.4819976174
94	QaIn	2246	0.0022223454	0.4842199627
95	aUf	2237	0.0022134401	0.4864334029
96	fOn	2233	0.0022094823	0.4886428851
97	ho	2203	0.0021797982	0.4908226834
98	max	2181	0.0021580299	0.4929807133
99	QUnt	2159	0.0021362616	0.4951169749
100	tsu:	2158	0.0021352722	0.4972522471
101	mIC	2143	0.0021204301	0.4993726772
102	ap	2131	0.0021085565	0.5014812337
103	ze:6	2125	0.0021026197	0.5035838535
104	tsvaI	2114	0.0020917356	0.5056755890
105	Im	2114	0.0020917356	0.5077673246
106	hal	2106	0.0020838198	0.5098511444
107	ha:m	2092	0.0020699673	0.5119211117
108	QIn	2077	0.0020551252	0.5139762369
109	ju:	2069	0.0020472095	0.5160234464
110	mm	2061	0.0020392938	0.5180627402
111	trEf	2037	0.0020155465	0.5200782867
112	ke:	2020	0.0019987256	0.5220770123
113	Qo	2005	0.0019838835	0.5240608958
114	a	1989	0.0019680521	0.5260289479
115	So:n	1981	0.0019601363	0.5279890842
116	ma	1977	0.0019561784	0.5299452626
117	han	1949	0.0019284733	0.5318737360
118	fOm	1936	0.0019156102	0.5337893462
119	y:	1924	0.0019037366	0.5356930828
120	raI	1890	0.0018700947	0.5375631775
121	f6	1888	0.0018681158	0.5394312933
122	nIC	1875	0.0018552527	0.5412865460
123	kOm	1864	0.0018443685	0.5431309145
124	tsu	1842	0.0018226002	0.5449535148
125	ha:	1833	0.0018136950	0.5467672098
126	tEl	1832	0.0018127056	0.5485799154
127	QaI	1825	0.0018057793	0.5503856947
128	laICt	1818	0.0017988530	0.5521845477
129	maIn	1798	0.0017790636	0.5539636113
130	dOx	1795	0.0017760952	0.5557397066
131	a:r	1786	0.0017671900	0.5575068966
132	ge:t	1782	0.0017632322	0.5592701287
133	aU	1773	0.0017543269	0.5610244557
134	tsUm	1769	0.0017503691	0.5627748248
135	I	1750	0.0017315692	0.5645063939
136	Ist	1734	0.0017157377	0.5662221316
137	mYs	1723	0.0017048535	0.5679269852
138	i:n	1720	0.0017018851	0.5696288703
139	mI	1712	0.0016939694	0.5713228397
140	ge:	1704	0.0016860536	0.5730088933
141	fi:6	1673	0.0016553801	0.5746642735
142	Qan	1657	0.0016395486	0.5763038221
143	hEt	1642	0.0016247066	0.5779285287
144	kan	1639	0.0016217382	0.5795502670
145	fI6	1614	0.0015970015	0.5811472685
146	ne:	1613	0.0015960120	0.5827432805
147	n6	1608	0.0015910647	0.5843343452
148	di:ns	1590	0.0015732543	0.5859075995
149	ze:n	1583	0.0015663280	0.5874739275
150	v@	1567	0.0015504965	0.5890244240
151	tsIC	1567	0.0015504965	0.5905749205
152	zOl	1551	0.0015346650	0.5921095856
153	e:6s	1543	0.0015267493	0.5936363349
154	ve:	1541	0.0015247703	0.5951611052
155	Qn	1539	0.0015227914	0.5966838966
156	ta:x	1514	0.0014980547	0.5981819513
157	C	1508	0.0014921179	0.5996740692
158	zIC	1495	0.0014792548	0.6011533240
159	mo:n	1492	0.0014762864	0.6026296104
160	fraU	1473	0.0014574865	0.6040870969
161	vE:	1470	0.0014545181	0.6055416150
162	fa:6n	1465	0.0014495708	0.6069911858
163	6s	1437	0.0014218657	0.6084130515
164	fy:6	1426	0.0014109815	0.6098240330
165	jEts	1420	0.0014050447	0.6112290777
166	hn	1418	0.0014030658	0.6126321435
167	gu:	1412	0.0013971290	0.6140292724
168	naU	1400	0.0013852553	0.6154145278
169	tsu:k	1376	0.0013615081	0.6167760359
170	va:r	1350	0.0013357819	0.6181118178
171	ze:	1349	0.0013347925	0.6194466103
172	QIm	1345	0.0013308346	0.6207774449
173	dOn	1338	0.0013239083	0.6221013532
174	gE6	1328	0.0013140136	0.6234153668
175	ma:	1326	0.0013120347	0.6247274015
176	QEs	1323	0.0013090663	0.6260364678
177	ne:m	1316	0.0013021400	0.6273386079
178	pas	1305	0.0012912559	0.6286298637
179	flu:k	1305	0.0012912559	0.6299211196
180	Qax	1303	0.0012892769	0.6312103965
181	Es	1293	0.0012793823	0.6324897788
182	m9C	1282	0.0012684981	0.6337582769
183	b@n	1276	0.0012625613	0.6350208382
184	laI	1271	0.0012576140	0.6362784522
185	vaI	1269	0.0012556350	0.6375340872
186	vOl	1267	0.0012536561	0.6387877433
187	nu:6	1267	0.0012536561	0.6400413993
188	klIC	1266	0.0012526666	0.6412940660
189	E6	1265	0.0012516771	0.6425457431
190	Qap	1249	0.0012358457	0.6437815888
191	k@	1235	0.0012219931	0.6450035819
192	hi:6	1229	0.0012160563	0.6462196382
193	r@n	1219	0.0012061616	0.6474257998
194	m2:	1213	0.0012002248	0.6486260246
195	pro	1209	0.0011962669	0.6498222915
196	N	1208	0.0011952775	0.6510175690
197	QUm	1207	0.0011942880	0.6522118570
198	glaIC	1205	0.0011923091	0.6534041661
199	Qo:	1196	0.0011834038	0.6545875699
200	d@s	1185	0.0011725197	0.6557600896
201	ni	1180	0.0011675724	0.6569276620
202	za:N	1179	0.0011665829	0.6580942449
203	hat	1174	0.0011616356	0.6592558804
204	gants	1172	0.0011596566	0.6604155370
205	hE6	1162	0.0011497619	0.6615652990
206	te:	1151	0.0011388778	0.6627041767
207	tsIs	1128	0.0011161200	0.6638202968
208	m6	1127	0.0011151306	0.6649354273
209	hIn	1125	0.0011131516	0.6660485789
210	k9m	1115	0.0011032569	0.6671518359
211	Qa	1114	0.0011022675	0.6682541033
212	li:	1110	0.0010983096	0.6693524129
213	tsvan	1107	0.0010953412	0.6704477541
214	na	1104	0.0010923728	0.6715401269
215	vY6d	1094	0.0010824781	0.6726226050
216	li	1079	0.0010676361	0.6736902411
217	e:	1078	0.0010666466	0.6747568877
218	SprEC	1072	0.0010607098	0.6758175975
219	ba:r	1071	0.0010597203	0.6768773178
220	man	1070	0.0010587309	0.6779360487
221	QaUf	1065	0.0010537835	0.6789898322
222	ge:n	1059	0.0010478467	0.6800376789
223	QaUx	1055	0.0010438888	0.6810815678
224	fY	1052	0.0010409204	0.6821224882
225	mUs	1050	0.0010389415	0.6831614297
226	vo:	1049	0.0010379520	0.6841993818
227	fYm	1049	0.0010379520	0.6852373338
228	ba:n	1048	0.0010369626	0.6862742964
229	ho:f	1045	0.0010339942	0.6873082906
230	d@n	1045	0.0010339942	0.6883422847
231	zIn	1031	0.0010201416	0.6893624263
232	tsva:r	1024	0.0010132153	0.6903756417
233	l@	1008	0.0009973838	0.6913730255
234	kaI	1005	0.0009944154	0.6923674410
235	tIC	1004	0.0009934260	0.6933608669
236	bIt	999	0.0009884786	0.6943493456
237	dn	995	0.0009845208	0.6953338663
238	6m	991	0.0009805629	0.6963144292
239	sn	990	0.0009795734	0.6972940026
240	vaIl	985	0.0009746261	0.6982686287
241	QEn	975	0.0009647314	0.6992333601
242	fe:	974	0.0009637419	0.7001971020
243	naIn	962	0.0009518683	0.7011489704
244	zi:t	952	0.0009419736	0.7020909440
245	ne:6	951	0.0009409842	0.7030319282
246	re	949	0.0009390052	0.7039709334
247	e:6	948	0.0009380158	0.7049089491
248	no	946	0.0009360368	0.7058449860
249	zOn	934	0.0009241632	0.7067691492
250	du:	923	0.0009132791	0.7076824282
251	tsIm	920	0.0009103107	0.7085927389
252	le:	919	0.0009093212	0.7095020601
253	m@n	918	0.0009083317	0.7104103918
254	Qe:	918	0.0009083317	0.7113187235
255	x@n	917	0.0009073422	0.7122260658
256	tsIks	904	0.0008944792	0.7131205449
257	tsv9lf	899	0.0008895318	0.7140100767
258	rYk	898	0.0008885424	0.7148986191
259	rECt	897	0.0008875529	0.7157861720
260	da	891	0.0008816161	0.7166677881
261	En	890	0.0008806266	0.7175484147
262	tsn	885	0.0008756793	0.7184240939
263	ax	875	0.0008657846	0.7192898785
264	za:	872	0.0008628162	0.7201526947
265	QIs	859	0.0008499531	0.7210026478
266	gan	854	0.0008450058	0.7218476536
267	aIN	847	0.0008380795	0.7226857331
268	zi:p	837	0.0008281848	0.7235139179
269	zEC	835	0.0008262059	0.7243401237
270	v	830	0.0008212585	0.7251613822
271	fli:	830	0.0008212585	0.7259826408
272	zn	828	0.0008192796	0.7268019204
273	u	817	0.0008083954	0.7276103158
274	sIC	810	0.0008014692	0.7284117850
275	mi:	810	0.0008014692	0.7292132541
276	tsICs	807	0.0007985008	0.7300117549
277	jan	807	0.0007985008	0.7308102556
278	rIC	804	0.0007955324	0.7316057880
279	nO	802	0.0007935534	0.7323993414
280	dam	799	0.0007905850	0.7331899264
281	ar	799	0.0007905850	0.7339805114
282	na:m	793	0.0007846482	0.7347651596
283	na:	791	0.0007826693	0.7355478289
284	nUns	790	0.0007816798	0.7363295087
285	zaIn	789	0.0007806903	0.7371101990
286	gIN	789	0.0007806903	0.7378908894
287	bru	788	0.0007797009	0.7386705902
288	vUn	784	0.0007757430	0.7394463332
289	S2:n	784	0.0007757430	0.7402220762
